1, 223.000000
2, 182.000000
3, 155.000000
4, 138.000000
5, 113.000000
6, 133.000000
7, 117.000000
8, 114.000000
9, 116.000000
10, 136.000000
11, 218.000000
12, 246.000000
13, 194.000000
14, 167.000000
15, 228.000000
16, 238.000000
17, 206.000000
18, 273.000000
19, 268.000000
20, 312.000000
21, 307.000000
22, 308.000000
23, 305.000000
24, 352.000000
25, 336.000000
2, 196.000000
1, 215.000000
2, 202.000000
3, 148.000000
4, 126.000000
5, 112.000000
6, 118.000000
7, 124.000000
8, 110.000000
9, 108.000000
10, 135.000000
11, 174.000000
12, 188.000000
13, 199.000000
14, 194.000000
15, 218.000000
16, 206.000000
17, 288.000000
18, 236.000000
19, 297.000000
20, 294.000000
21, 335.000000
22, 299.000000
23, 291.000000
24, 315.000000
25, 364.000000
